Employee_ID,Name,Age,Salary,City,Joining_Date,Email,Phone,Department,Job_Title
78,Christine Newman,65,68660.44,Lisatown,2015-12-20,gordoncandace@example.org,+1-984-608-3879x83105,IT,Sports development officer
79,Bradley Sanchez,26,81127.94,North Jessicaland,2023-08-15,kelly80@example.com,903.525.2780,Marketing,Food technologist
80,Samantha Mcgrath,31,37311.53,Jerryville,2023-09-21,melindaochoa@example.com,672.661.4887,Sales,Holiday representative
81,Shelby Chandler,27,140287.81,Stevenburgh,2022-06-22,jill23@example.com,001-832-345-7614x31096,Marketing,"Research officer, trade union"
82,Bruce Hill,58,130089.4,Port Sophia,2016-03-12,westlaura@example.net,378.203.7586x497,HR,"Investment banker, corporate"
83,Michele Simmons,42,87803.88,Davidburgh,2019-08-13,csimmons@example.org,226.573.8454x87052,Sales,"Pharmacist, community"
84,Chris Cox,25,120286.14,Port Heathertown,2016-03-09,kimberly05@example.com,(812)412-9627x930,HR,Microbiologist
85,Victoria Evans,28,78682.93,West Daniel,2021-09-20,woodardjose@example.net,297.530.8563,Sales,Statistician
86,Kristin Davenport,44,124889.43,Jeffreyside,2024-08-05,fritzlydia@example.com,001-882-763-0843x75126,Marketing,"Producer, radio"
87,Dawn Mcconnell,24,142415.46,West Peterfurt,2017-05-06,nking@example.net,(493)912-0486,Marketing,Ergonomist
88,Leah Rangel,54,99618.46,North Julie,2019-08-31,zlawson@example.net,(350)898-4476x607,Finance,Armed forces technical officer
89,Bob Lee,25,56339.74,Sharonside,2022-11-18,livingstondean@example.com,+1-319-498-1548x07340,HR,"Doctor, hospital"
90,Adam Gregory,60,146733.56,Williamside,2015-12-25,coreyperry@example.org,001-355-729-2959x5582,Sales,"Engineer, structural"
91,Brian Ross,62,52050.5,Bentonmouth,2025-04-25,fhorton@example.com,+1-263-467-7037x373,Marketing,"Librarian, public"
92,Michelle Chandler,35,132777.97,Thomaston,2016-12-12,owensmegan@example.com,686.510.3003,Sales,Bonds trader
93,John Mason,59,52625.08,New David,2016-08-22,catherine34@example.net,+1-207-601-4891x9534,Finance,Sport and exercise psychologist
94,Jose Jones,47,100855.73,Port Jameschester,2024-08-18,ericawood@example.org,726-795-5246x6506,HR,Government social research officer
95,Brandon Downs,47,104365.13,West Theresa,2023-07-11,timothy66@example.org,+1-236-935-5884x57998,Finance,"Psychologist, educational"
96,Julie Bolton,28,42461.86,New David,2018-11-14,lesliemoran@example.net,492.998.8516x81127,Finance,Actuary
97,Jennifer Nunez,39,100546.78,Lake Marie,2017-04-10,joannpage@example.org,+1-670-833-8287x63689,Sales,Quantity surveyor
98,Jacob Jordan,39,128628.74,Jillianberg,2024-11-09,dianavazquez@example.org,858.896.6196x57924,Sales,Best boy
99,Leslie Torres,45,65889.95,East Theresatown,2024-03-10,ronaldbryant@example.org,412-345-8599,IT,Film/video editor
100,Fred Cole,50,38032.79,West Jenniferport,2017-11-03,qhunter@example.org,783.761.7821x277,Sales,Seismic interpreter
